,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Dominant topic,Cluster
Doc 964,0.01,0.01,0.94,0.01,0.01,0.01,0.01,Topic 2,Cluster 0
Doc 965,0.01,0.85,0.01,0.01,0.09,0.01,0.01,Topic 1,Cluster 1
Doc 966,0.02,0.02,0.02,0.02,0.89,0.02,0.02,Topic 4,Cluster 0
Doc 967,0.01,0.01,0.92,0.01,0.01,0.01,0.01,Topic 2,Cluster 1
Doc 968,0.01,0.01,0.01,0.01,0.92,0.01,0.01,Topic 4,Cluster 0
Doc 969,0.01,0.01,0.91,0.01,0.01,0.01,0.01,Topic 2,Cluster 0
Doc 970,0.71,0.01,0.01,0.01,0.24,0.01,0.01,Topic 0,Cluster 1
Doc 971,0.01,0.01,0.92,0.01,0.01,0.01,0.01,Topic 2,Cluster 0
Doc 972,0.01,0.01,0.01,0.01,0.92,0.01,0.01,Topic 4,Cluster 1
Doc 973,0.01,0.01,0.01,0.01,0.92,0.01,0.01,Topic 4,Cluster 0
Doc 974,0.01,0.01,0.65,0.01,0.29,0.01,0.01,Topic 2,Cluster 0
Doc 975,0.01,0.9,0.01,0.01,0.05,0.01,0.01,Topic 1,Cluster 1
Doc 976,0.02,0.02,0.02,0.65,0.25,0.02,0.02,Topic 3,Cluster 1
Doc 977,0.02,0.02,0.02,0.02,0.88,0.02,0.02,Topic 4,Cluster 0
Doc 978,0.01,0.01,0.01,0.01,0.92,0.01,0.01,Topic 4,Cluster 0
Doc 979,0.02,0.02,0.02,0.02,0.61,0.18,0.15,Topic 4,Cluster 0
Doc 980,0.83,0.01,0.01,0.01,0.1,0.01,0.01,Topic 0,Cluster 1
Doc 981,0.01,0.01,0.53,0.01,0.41,0.01,0.01,Topic 2,Cluster 0
Doc 982,0.01,0.01,0.01,0.56,0.37,0.01,0.01,Topic 3,Cluster 0
Doc 983,0.01,0.01,0.01,0.02,0.92,0.01,0.01,Topic 4,Cluster 0
Doc 984,0.01,0.01,0.01,0.01,0.93,0.01,0.01,Topic 4,Cluster 0
Doc 985,0.02,0.02,0.02,0.02,0.02,0.87,0.02,Topic 5,Cluster 0
Doc 986,0.01,0.01,0.94,0.01,0.01,0.01,0.01,Topic 2,Cluster 0
Doc 987,0.02,0.02,0.02,0.46,0.44,0.02,0.02,Topic 3,Cluster 0
Doc 988,0.02,0.02,0.02,0.02,0.33,0.6,0.02,Topic 5,Cluster 0
Doc 989,0.01,0.01,0.01,0.01,0.79,0.14,0.01,Topic 4,Cluster 1
Doc 990,0.02,0.02,0.02,0.02,0.87,0.02,0.02,Topic 4,Cluster 0
Doc 991,0.01,0.01,0.01,0.01,0.26,0.67,0.01,Topic 5,Cluster 0
Doc 992,0.01,0.01,0.01,0.01,0.92,0.01,0.01,Topic 4,Cluster 0
Doc 993,0.01,0.01,0.94,0.01,0.01,0.01,0.01,Topic 2,Cluster 0
Doc 994,0.01,0.01,0.01,0.71,0.22,0.01,0.01,Topic 3,Cluster 0
Doc 995,0.02,0.02,0.02,0.02,0.89,0.02,0.02,Topic 4,Cluster 0
Doc 996,0.02,0.02,0.02,0.02,0.87,0.02,0.02,Topic 4,Cluster 0
Doc 997,0.02,0.02,0.02,0.02,0.89,0.02,0.02,Topic 4,Cluster 0
Doc 998,0.81,0.02,0.02,0.02,0.1,0.02,0.02,Topic 0,Cluster 0
Doc 999,0.01,0.01,0.01,0.74,0.19,0.01,0.01,Topic 3,Cluster 0
Doc 1000,0.2,0.02,0.02,0.02,0.61,0.12,0.02,Topic 4,Cluster 1
Doc 1001,0.01,0.01,0.14,0.01,0.6,0.2,0.01,Topic 4,Cluster 0
Doc 1002,0.02,0.02,0.02,0.02,0.02,0.91,0.02,Topic 5,Cluster 0
Doc 1003,0.01,0.01,0.91,0.01,0.01,0.01,0.01,Topic 2,Cluster 1
Doc 1004,0.02,0.02,0.02,0.02,0.89,0.02,0.02,Topic 4,Cluster 0
Doc 1005,0.01,0.01,0.94,0.01,0.01,0.01,0.01,Topic 2,Cluster 0
Doc 1006,0.02,0.02,0.18,0.02,0.48,0.29,0.02,Topic 4,Cluster 0
Doc 1007,0.01,0.01,0.01,0.01,0.58,0.35,0.01,Topic 4,Cluster 0
Doc 1008,0.85,0.01,0.01,0.02,0.08,0.01,0.01,Topic 0,Cluster 1
Doc 1009,0.02,0.02,0.02,0.88,0.02,0.02,0.02,Topic 3,Cluster 0
Doc 1010,0.02,0.02,0.9,0.02,0.02,0.02,0.02,Topic 2,Cluster 0
Doc 1011,0.02,0.02,0.02,0.02,0.02,0.85,0.02,Topic 5,Cluster 0
